From-Location,To-Location,Type,Subtype,Length,Cores,Fibers
NOC DC,DK Q13,fibre,Fibre,69.4 ,8,
DK W13,DK X13,fibre,Fibre,73.2 ,2,
NOC DC2,DK M9,fibre,Fibre,125.0 ,12,
DK O14,NOC DC,fibre,Fibre,77.9 ,1,
DK O6,DK Q6,fibre,Fibre,68.4 ,2,
DK T13,U14 CONTAINERS,fibre,Fibre,47.0 ,2,
DK M9,DK L10,fibre,Fibre,70.1 ,8,
DK U12 DISTRI,DK V11,fibre,Fibre,143.3 ,8,
DK MARKT,DK N11,fibre,Fibre,95.1 ,2,
DK P13,DK Q13,fibre,Fibre,71.1 ,2,
DK T15,DK Q15,fibre,Fibre,172.1 ,2,
DK R10,DK Q12,fibre,Fibre,115.4 ,8,
DK Q12,DK P12,fibre,Fibre,104.4 ,8,
DK O8,DK R10,fibre,Fibre,213.0 ,8,
DK P12,NOC DC,fibre,Fibre,232.8 ,8,
DK W10,DK V10,fibre,Fibre,72.1 ,2,
DK O8,DK Q8,fibre,Fibre,72.3 ,2,
DK R8,DK S7,fibre,Fibre,121.6 ,2,
DK N11,DK N12,fibre,Fibre,76.1 ,2,
DK O9,DK MARKT,fibre,Fibre,83.7 ,2,
DK R15,DK Q15,fibre,Fibre,65.8 ,2,
DK L12,DK M11,fibre,Fibre,53.1 ,2,
DK U8,DK S8,fibre,Fibre,67.4 ,2,
DK Q8 2,DK R8,fibre,Fibre,63.1 ,2,
DK O9,DK O10,fibre,Fibre,130.4 ,1,
NOC DC2,DK O8,fibre,Fibre,148.7 ,12,
NOC DC2,DK N7,fibre,Fibre,47.5 ,2,
NOC DC2,DK O5,fibre,Fibre,83.2 ,2,
DK O5,DK O6,fibre,Fibre,52.4 ,2,
DK Q6,DK P7,fibre,Fibre,67.7 ,2,
DK U10,DK U8,fibre,Fibre,95.1 ,2,
DK V11,DK W12,fibre,Fibre,72.3 ,4,
DK W12,DK W10,fibre,Fibre,138.8 ,4,
DK O8,DK O9,fibre,Fibre,204.9 ,2,
DK N12,NOC DC,fibre,Fibre,107.5 ,2,
DK R10,DK Q10,fibre,Fibre,119.1 ,2,
DK S10,DK U10,fibre,Fibre,116.1 ,2,
DK K13,DK I15,fibre,Fibre,90.0 ,1,
NOC DC,NOC,fibre,Fibre,73.8 ,4,
DK Q14,NOC,fibre,Fibre,51.2 ,2,
DK R13,NOC DC,fibre,Fibre,145.6 ,8,
DK Q12,DK R12,fibre,Fibre,89.8 ,2,
DK Q14,DK R15,fibre,Fibre,178.6 ,2,
DK X13,DK Y14,fibre,Fibre,72.0 ,2,
DK V13,DK W13,fibre,Fibre,105.7 ,2,
DK M15,LOC,fibre,Fibre,138.7 ,2,
DK O13,DK M15,fibre,Fibre,151.3 ,12,
DK K13,DK L13,fibre,Fibre,133.2 ,2,
DK L13,DK L12,fibre,Fibre,94.0 ,2,
DK L13,DK K12,fibre,Fibre,54.8 ,1,
DK L13,DK O13,fibre,Fibre,143.0 ,2,
DK M11,DK M9,fibre,Fibre,176.1 ,2,
DK U12 DISTRI,DK T13,fibre,Fibre,93.6 ,8,
DK V11,DK V13,fibre,Fibre,142.9 ,2,
DK S11,VOC OFFICE,fibre,Fibre,84.4 ,4,
DK R10,DK S11,fibre,Fibre,132.2 ,8,
DK O8,DK P10,fibre,Fibre,117.6 ,2,
DK Q6,DK R6,fibre,Fibre,69.7 ,2,
DK V10,DK V11,fibre,Fibre,119.7 ,2,
DK L14,DK K13,fibre,Fibre,113.1 ,8,
DK M15,DK L14,fibre,Fibre,94.3 ,8,
DK L10,DK K13,fibre,Fibre,210.4 ,8,
DK T13,DK R13,fibre,Fibre,88.1 ,8,
DK L10,VOC STUDIO,fibre,Fibre,72.7 ,2,
DK O13,NOC DC,fibre,Fibre,41.9 ,12,
DK O13,DK M13,fibre,Fibre,94.3 ,2,
DK Q8,DK Q8 2,fibre,Fibre,85.8 ,2,
DK R13,DK T14 2,fibre,Fibre,113.7 ,2,
DK S11,DK S10,fibre,Fibre,178.7 ,2,
DK Q10,DK Q11,fibre,Fibre,111.3 ,2,
DK P10,DK Q9,fibre,Fibre,73.3 ,2,
VOC OFFICE,DK U12 DISTRI,fibre,Fibre,195.9 ,4,
NOC DC,INFODESK,fibre,Fibre,30.6 ,1,
DK P13,MERCH,fibre,Fibre,41.4 ,1,
DK L10,VOC,fibre,Fibre,24.5 ,2,
DK N11,POC,copper,Copper,14.6 ,2,
DK M11,heaven,copper,Copper,17.2 ,1,
DK M11,Kitchen,copper,Copper,14.7 ,1,
